product_name,product_type
Laptop,General
Office Chair,General
Table Lamp,General
Smartphone Case,General
Notebook,General
Organic Bananas,Food
Whole Wheat Bread,Food
Almond Milk,Food
Frozen Pizza,Food
Energy Bar,Food
Men's Leather Jacket,Clothing
Women's Running Shoes,Clothing
Cotton Socks,Clothing
Denim Jeans,Clothing
Winter Gloves,Clothing
E-book: Python Programming,Digital
Online Course Subscription,Digital
Software License,Digital
Music Streaming Plan,Digital
Cloud Storage Service,Digital
Industrial Drill,Manufacturing
Bulk Steel Sheets,Manufacturing
Hydraulic Pump,Manufacturing
Automotive Bearings,Manufacturing
3D Printer Filament,Manufacturing
Standing Desk,General
Bluetooth Speaker,General
LED Monitor,General
USB-C Charger,General
Ergonomic Keyboard,General
Greek Yogurt,Food
Organic Honey,Food
Brown Rice,Food
Gluten-Free Pasta,Food
Cold Brew Coffee,Food
Unisex Hoodie,Clothing
Athletic Leggings,Clothing
Canvas Sneakers,Clothing
Baseball Cap,Clothing
Wool Scarf,Clothing
Anti-Virus Software,Digital
Graphic Design Tool Subscription,Digital
Online Newspaper Paywall,Digital
Video Editing Software,Digital
Premium Stock Photos,Digital
Welding Rods,Manufacturing
Industrial Conveyor Belt,Manufacturing
Heavy-Duty Chains,Manufacturing
Precision Ball Bearings,Manufacturing
Construction Adhesive,Manufacturing
Wireless Mouse,General
HDMI Cable,General
Office Desk,General
Smart Light Bulb,General
Electric Kettle,General
Portable Hard Drive,General
Cordless Vacuum Cleaner,General
Surge Protector,General
Wall Mount Bracket,General
Power Bank,General
Protein Powder,Food
Dairy-Free Cheese,Food
Instant Oatmeal,Food
Organic Peanut Butter,Food
Keto Snack Bar,Food
Sparkling Water,Food
Plant-Based Meat,Food
Canned Tuna,Food
Energy Drink,Food
Whole Grain Cereal,Food
Men's Dress Shirt,Clothing
Women's Summer Dress,Clothing
Waterproof Hiking Boots,Clothing
Thermal Socks,Clothing
Compression Shorts,Clothing
Leather Handbag,Clothing
Sports Sunglasses,Clothing
Winter Beanie,Clothing
Swim Trunks,Clothing
Cotton Polo Shirt,Clothing
Video Game Subscription,Digital
Cloud Hosting Plan,Digital
VPN Subscription,Digital
Online Fitness Program,Digital
E-learning Course,Digital
Stock Market Analysis Software,Digital
Digital Photography Bundle,Digital
Premium Podcast Subscription,Digital
